Name,Link,Area,State Served,Other Limitation,Overview,Grant Guidelines,Foundation Information
,,,,,"MissionTo support charitable organizations primarily in North Carolina that benefit indigent or sick persons.Annual application deadlinesJuly 1Program areasHealthHuman servicesProgram limitationsThe trust supports programs that benefit the poor and needy or the ill and infirm.States servedNorth CarolinaGeographic limitationsThere are no geographic limitations; however, the trust has a practice of primarily supporting organizations located in the triangle region of North Carolina.TrusteesWells Fargo Bank, N.A.","RequirementsOrganizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Grantmaking prioritiesGrants are made primarily, but not necessarily exclusively, to charities whose purpose is to benefit the poor and needy or the ill and infirm.Preference is given to charities with a record of using money wisely and efficiently, without excessive overhead.Situations in which a grant would make a real difference will be favored.Average givingAverage grant size: $125,000 to $175,000Average number of grants per year: 6Average total giving per year: $850,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by July 1 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission.Required reportsGrant recipients are required to submit an annual progress report after receiving funds.","About the Foundation            The Cameron Charitable Trust was established by Edward Alexander Cameron under a trust agreement dated June 22, 1984. Mr. Cameron created the trust to benefit underprivileged persons and persons in poor health."
,,,,,"MissionTo support a variety of public and charitable purposes that benefit the general public in St. Joseph County, Indiana.Annual application deadlinesJune 1Program areasArts, culture, and humanitiesEducationEnvironment, animalsHealthHuman servicesPublic/society benefitReligionStates servedIndianaGeographic limitationsSt. Joseph County, IndianaTrusteesWells Fargo Bank, N.A.","The Florence V. Carroll Charitable Trust was created to support a variety of public and charitable purposes that benefit the general public in St. Joseph County, Indiana.RequirementsTo be eligible, organizations must qualify as exempt organizations under Sections 501(c)(3) and 509(a)(1) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $10,000 to $50,000Average number of grants per year: 30Average total giving per year: $350,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by June 1 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the FoundationFlorence Vaughn Carroll was born on February 8, 1912 in South Bend, Indiana. She was the granddaughter of Edmund C. Westervelt, a prominent businessman involved in several enterprises, including the pulp and paper industry. In 1946, she married George Earl Carroll, a Latin, English, and journalism teacher. During her life, Mrs. Carroll was an active member of a large number of organizations that reflected both her ancestry and her interests, including the arts, genealogy, history, and community service. The Florence V. Carroll Charitable Trust was created to benefit the general public of St. Joseph County, Indiana. Mrs. Carroll died on May 20, 1988. Through the extraordinary financial acumen and prudence of Edmund C. Westervelt and the exceptional forethought and benevolence of Florence V. Carroll, the community of St. Joseph County will continue to benefit for many years to come."
,,,,,"MissionTo support a variety of charitable purposes, with a focus on funding organizations that support the environment; cultural arts; education; religious organizations committed to social, economic, and political justice; and print based media organizations.Annual application deadlinesJuly 15Program areasArts, culture, and humanitiesEducationEnvironment, animalsHealthHuman servicesPublic/society benefitReligionStates servedNew JerseyTypes of supportProgram SupportTrusteesWells Fargo Bank, N.A.","The Paulina and Stephen Cepreghy Charitable Foundation was created to support a variety of charitable purposes. The foundation has a focus on funding organizations that support the environment; cultural arts; education; religious organizations committed to social, economic, and political justice; and print based media organizations.RequirementsApplications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.To be eligible, organizations must qualify as exempt organizations under Sections 501(c)(3) of the Internal Revenue Code.LimitationsThe foundation typically does not fund requests for:SalariesGrantmaking prioritiesPreference may be given to requests for the following:EnvironmentCultural ArtsEducationReligious OrganizationsPrint Based Media OrganizationsAverage givingAverage grant size: $5,000 to $15,000Average number of grants per year: 4 - 5Average total giving per year: $25,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by July 15 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an email confirming their submission.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the FoundationThe Paulina and Stephen Cepreghy Charitable Foundation was created in 1999 by Stephen Cepreghy. The foundation has a focus on funding organizations that support the environment; cultural arts; education; religious organizations committed to social, economic, and political justice; and print based media organizations."
,,,,,"MissionTo support a variety of public and charitable purposes which will benefit the residents of St. Joseph County, Indiana, particularly the City of South Bend.Annual application deadlinesJune 1Program areasArts, culture, and humanitiesEducationEnvironment, animalsHealthHuman servicesPublic/society benefitReligionStates servedIndianaGeographic limitationsCity of South Bend, Indiana and St. Joseph County, IndianaTrusteesWells Fargo Bank, N.A.","The Stanley A. and Flora P. Clark Memorial Community Trust Foundation was created to support a variety of public and charitable purposes which will benefit the residents of St. Joseph County, Indiana, particularly the City of South Bend.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $5,000 to $20,000Average number of grants per year: 15Average total giving per year: $125,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by June 1 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Stanley A. and Flora P. Clark Memorial Community Trust Foundation was established in July 1964 in order to benefit the people of South Bend, Indiana and St. Joseph County, Indiana.Dr. Stanley Clark, a prominent physician, was known for his philanthropic deeds.  He donated his time and money for numerous organizations until his death on April 18, 1962.  South Bend’s Stanley Clark School is named after this exceptional man.  His wife, Flora Clark, was also very involved in the community.  At the time of her death, she was a member of a number of organizations, including the Women’s Auxiliary of the St. Joseph County Medical Society, the Northern Indiana Historical Society, the Progress Club, and the South Bend Symphony Association.  Mrs. Clark created the Stanley A. and Flora P. Clark Memorial Community Trust to perpetuate her late husband’s memory and their lifetime of service to the community.  Mrs. Clark passed away  on July 3, 1970."
,,,,,"MissionTo provide healthcare assistance to needy and indigent residents of Halifax County, Virginia.Annual application deadlinesJuly 1Program areasHealthHuman servicesProgram limitationsTo support programs that defray the cost of hospitalization or provide medical services to needy and indigent persons residing in Halifax County, Virginia.States servedVirginiaGeographic limitationsHalifax County, VirginiaPopulation servedNeedy and indigent persons requiring healthcare assistance.TrusteesWells Fargo Bank, N.A.","RequirementsOrganizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Grants must benefit needy and indigent persons residing in Halifax County, Virginia.Grantmaking prioritiesGrants must benefit needy and indigent persons residing in Halifax County, Virginia. Preference may be given to requests for the following:Defraying the cost of hospitalizationProviding medical servicesPrograms which aid in the education and prevention of health issues and diseases for needy and indigent personsDefinitionsNeedy and indigent persons: persons having neither money nor estate, without credit, and unable to maintain themselves because of inability to work or obtain employment, persons who have property or estate which is not available for their immediate relief or is disproportionate to the extent of their needs, and persons having insufficient means to pay the expenses of their hospitalization, or that of their dependents, after providing for those who are dependent upon such persons for their support.Cost of hospitalization: the costs of board, nursing, medical care, surgical care, treatment, and medications related to any such care or treatment received by a person at or through the facilities of a duly licensed hospital, whether the same is charged directly to the patient by such hospital or by the person or entity providing such services or medications and whether such person is admitted to such hospital or treated as an outpatient.Average givingAverage grant size: $3,000 to $5,000Average number of grants per year: 10Average total giving per year: $50,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by July 1 to be reviewed at the August annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by September for applications received by the deadline.Required reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 9 months after receiving funds.","About the Foundation            The Clark Memorial Fund was established under the Last Will and Testament of Elise Thomson Clark. Ms. Clark, a resident of Halifax County, Virginia, created the trust in memory of her father and mother. The trust provides healthcare assistance to needy and indigent residents of Halifax County, Virginia."
,,,,,"MissionBased on the preference in the trust, distributions shall be primarily used to benefit the Grand Island, Nebraska metropolitan area, but in the trustee's discretion other charitable purposes may also be supported.Annual application deadlinesNovember 30Program areasArts, culture, and humanitiesEducationEnvironment, animalsHealthHuman servicesPublic/society benefitReligionStates servedNebraskaGeographic limitationsThere are no geographic limitations; however, the trust contains a preference for distributions to be used within the Grand Island, Nebraska metropolitan area, which the trustee defines as consisting of Hall, Merrick and Howard counties.TrusteesWells Fargo Bank, N.A.","The Earl and Maxine Claussen Trust contains a preference that distributions be used to benefit the Grand Island, Nebraska metropolitan area, so distributions are primarily used to support the metro area, but the trustee may exercise its discretion to support other charitable purposes.RequirementsGrantees must be qualified as public charities under IRC section 501(c)(3).Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Grantmaking prioritiesPreference may be given to requests for the following:Organizations operating in the Grand Island, Nebraska metropolitan area, which consists of Hall, Merrick and Howard counties.Organizations that benefit the residents of the Grand Island, Nebraska metropolitan area.Average givingAverage grant size: $1,000 to $5,000Average number of grants per year: 8Average total giving per year: $27,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by November 30 to be reviewed at the grant meeting that occurs in December.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Earl and Maxine Claussen Trust was established in 1984 pursuant to the Last Will and Testament of Earl Elmer Claussen.  It was Mr. Claussen’s desire to assist the residents of the Grand Island, Nebraska metropolitan area, which includes Hall, Merrick and Howard counties."
,,,,,"MissionTo aid medical research in the cause, treatment, cure and alleviation of leukemia, muscular dystrophy, and cerebral palsy.Annual application deadlinesJune 30Program areasHealthProgram limitationsGrants are limited to 501(c)(3) organizations that support medical research in the areas of leukemia, muscular dystrophy, and cerebral palsy.States servedAllGeographic limitationsThere are no geographic limitations; however, the trust has a practice of primarily supporting organizations located in Georgia.Types of supportGrants will only be given for medical research in the areas of leukemia, muscular dystrophy, and cerebral palsy.TrusteesWells Fargo Bank, N.A.","RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $5,000Average number of grants per year: 1-5Average total giving per year: $10,000-$15,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by June 30 to be reviewed at the annual grant meeting that occurs in July.CommunicationsApplicants will receive an automated email confirming their submission.  Grant decisions are generally communicated by August for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the FoundationThe Ella B. Cleveland Trust was established to aid charitable medical research foundations in their studies and research to discover the cause, treatment, cure and alleviation of leukemia, muscular dystrophy, and cerebral palsy.Ella B. Cleveland was a longtime resident of the Columbus, Georgia area.  She died on December 26, 1974, and was predeceased by her husband, Bert Cleveland."
,,,,,"MissionTo provide support for needy persons, charitable organizations, and worthy causes, with primary consideration for the education of the needy.Annual application deadlinesMarch 31 and September 30Program areasEducationHealthHuman servicesStates servedCaliforniaGeographic limitationsSan Francisco Bay Area onlyTrusteesWells Fargo Bank, N.A. (Co-Trustee)President of Sinai Memorial Chapel","The Sadie Meyer and Louis Cohn Foundation provides support to needy persons, charitable organizations and worthy causes, with primary consideration for the education of the needy.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.To be eligible, organizations must also qualify as exempt organizations under the provisions of the California Revenue and Taxation Code.Organizations must be located in the San Francisco Bay Area.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $2,000 - $5,000Average number of grants per year: 7Average total giving per year: $21,500Annual application period and deadlinesApplications are accepted year-round, but must be submitted by March 31 or September 30 to be reviewed at the grant meeting following each such date.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by April and October for applications received by the deadlines.Required reportsPeriodic progress reports and final reports are required for funded projects within 6 months after receiving funds.","About the Foundation            The Sadie Meyer and Louis Cohn Foundation was established under the Last Will and Testament of Sadie Meyer Cohn.  Mrs. Cohn was born August 28, 1883 and passed away on January 9, 1966.   She was a resident of San Francisco, California."
,,,,,"MissionThe Buster Coleman Charitable Trust’s mission is to support religious, charitable, scientific, literary or educational purposes and the prevention of cruelty to children or animals.Annual application deadlinesApril 30Program areasArts, culture, and humanitiesEducationEnvironment, animalsHealthHuman servicesReligionGeographic limitationsThere are no geographic limitations; however, the foundation has a practice of primarily supporting organizations in Wichita County (TX) and the surrounding communities.States servedAllTypes of supportProgram supportPopulation servedChildren, animals and religions, scientific, literary and educational organizations or purposesTrusteesWells Fargo Bank, N.A.","The Buster Coleman Charitable Trust primarily supports religious, charitable, scientific, literary or educational purposes and the prevention of cruelty to children or animals.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $2,500Average number of grants per year: 6Average total giving per year: $15,000Annual application period and deadlinesApplications are accepted year-round and must be received prior to April 30 to be considered for the current year.CommunicationsApplicants will receive an automated email confirming their submission.  Grant decisions are generally communicated by the end of July for applications received by the deadline.",
,,,,,"MissionTo provide grants to qualified 501(c)(3) organizations to promote polo and tennis as sports, especially among young players.Annual application deadlinesDecember 15Program areasArts, culture and humanitiesStates servedAllTrusteesWells Fargo Bank, N.A.","The Frederic C. Collin Trust provides grants to organizations to promote polo and tennis as sports, especially among young players.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.LimitationsGrants must be used to promote polo and tennis as sports.Average givingAverage grant size: $2,000 to $3,800Average number of grants per year: 2-4Average total giving per year: $9,000Annual application period and deadlinesApplications are accepted year-round.  Applications must be submitted by December 15 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an email confirming their submission. Grant decisions are generally communicated within 3 months of the application deadline for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.",About the Foundation            The Frederic C. Collin Trust was established under the Last Will and Testament of Frederic C. Collin
,,,,,"MissionTo support various charitable causes located in or for the benefit of Boulder County, Colorado.Annual application deadlinesNovember 30Program areasArts, culture and humanitiesEducationEnvironment/animalsHealthHuman servicesReligionProgram limitationsLimited to charitable organizations operating in or supporting Boulder County, Colorado.States servedColoradoGeographic limitationsBoulder County, ColoradoTrusteesWells Fargo Bank, N.A.","Grants are made to charitable organizations operating in or benefitting the residents of Boulder County, Colorado.RequirementsGrantees must be qualified as public charities under IRC section 501(c)(3).Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $4,000 to $6,000Average number of grants per year: 10 to 15Average total giving per year: $63,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by November 30 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by April for applications received by the deadline.Required reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            The Collins Foundation was established by William Ray Collins and Ruth E. Collins for charitable, religious and educational purposes and organizations within Boulder County, Colorado.  Mr. and Mrs. Collins were residents of Boulder, and they were co-owners of a clothing and shoe store.  Mrs. Collins died on May 22, 1978, and Mr. Collins died on June 11, 1981."
,,,,,"MissionTo support a variety of charitable causes, primarily within north central, Texas.Annual application deadlinesMay 1Program areasArts, culture, and humanitiesEducationEnvironment, animalsHealthHuman servicesPublic/society benefitReligionStates servedTexasGeographic limitationsThere are no geographic limitations; however, the trust primarily supports organizations located within north central, Texas.TrusteesWells Fargo Bank, N.A.","The Gene Conley Foundation awards grants exclusively for religious, charitable, scientific, literary or educational purposes, or for the prevention of cruelty to children or animals.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $5,000 to $20,000Average number of grants per year: 28Average total giving per year: $340,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by May 1 to be reviewed at the annual grant meeting that occurs in July.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by August for applications received by the deadline.Required agreements and reportsA progress report must be submitted within 6 months after receiving funds.","About the Foundation            The Gene Conley Foundation was created  under the  Last Will and Testament of Lillian Conley Martin, formerly Lillian Cornelius Conley, of Quanah in Hardeman County, Texas.  Ms. Martin died on March 16, 1987."
,,,,,"MissionTo support at-risk children and young adults, with a primary goal of providing educational support and a secondary goal of providing general support and life enhancement.Annual application deadlinesJune 15Program areasArts, culture, and humanitiesEducationHuman servicesPublic/society benefitStates servedNew YorkNew JerseyTypes of SupportCapital needsGeneral operating supportProgramsPopulation servedAt-risk children and young adults up to age 29, including, but limited to, orphans, children in foster care, inner city children, and low income, homeless and LGBT youth.DirectorsJoshua CarrickKeisha RichardsonLisa HarrisBetty Rapoport","Conscious Kids awards grants to organizations to provide scholarships and cultural exposure for at-risk children and young adults (up to age 29), including, but not limited to, orphans, children in foster care, inner city children, and low income, homeless and LGBT youth. Their goal is that the individuals who benefit from these grants will recognize these benefits and will be inspired to serve their community or society at large.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Grantmaking prioritiesPreference will be given to requests for the following:Scholarships (preparatory school, college, vocational/technical) to at-risk children and young adults (maximum age 29 years) who are orphans, foster children, inner city children and/or at risk (such as, but not limited to, low income, LGBT, homeless).Summer camps, cultural organizations and schools that provide cultural education (dance, voice, and arts of all kinds) with outreach to  at-risk populations.Average givingAverage grant size: $10,000 to $20,000Average number of grants per year: 5Average total giving per year: $100,000Annual application period and deadlinesApplications are accepted year-round.  Applications must be submitted by June 15 to be reviewed at the annual grant meeting that occurs in September.CommunicationsApplicants will receive an automated email confirming their submission. Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.",
,,,,,"MissionTo provide grants to organizations located in France that help with the care, education, maintenance and support of orphans living in France or provide support to out-of-home youth and/or unaccompanied children in France.Annual application deadlinesApril 15Program areasEducationHealth Human ServicesTypes of SupportProgram supportStates servedAll, FranceOther limitationsLimited to organizations located in France that help with the care, education, maintenance and support of orphans living in France or provide support to out-of-home youth and/or unaccompanied children in France.TrusteesWells Fargo Bank, N.A.","The Leandre A. and Angele F. Contat Trust provides grants to organizations located in France that help with the care, education, maintenance and support of orphans living in France or provide support to out-of-home youth and/or unaccompanied children in France.LimitationsThe foundation typically does not fund requests for:SalariesGrantmaking prioritiesPreference may be given to requests for the following:French Roman Catholic institutionsAverage givingAverage grant size: $13,000Average number of grants per year: 1Average total giving per year: $13,000-$15,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by April 15 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an email confirming their submission. Grant decisions are generally communicated within 3 months of the application deadline for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.",About the FoundationThe Leandre A. and Angele F. Contat Trust was established under the Trust Agreement of Leandre Aristide Contat & Angele Fonteix Contat.
,,,,,"MissionTo support programs for the care and well-being of animals, adolescent intervention programs, epilepsy education and research, and programs for the home care of the terminally ill.Annual application deadlinesJuly 31Program areasEducationEnvironment, animalsHealthHuman servicesProgram limitationsGrants are specifically limited to support for the care and well-being of animals, adolescent intervention programs, epilepsy education and research, and programs for the home care of the terminally ill.States servedUtahTrusteesWells Fargo Bank, N.A.","Grants are specifically limited to support for the care and well-being of animals, adolescent intervention programs helping youth acquire skills to meet life's challenges, education and research in connection with epilepsy, and programs for home care of the terminally ill.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $5,000 - $10,000Average number of grants per year: 8Average total giving per year: $65,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by July 31 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission.","About the Foundation            The Ruby J. Craddock Memorial Trust was created by Wallis L. Craddock and Ruby J. Craddock  to support the care and well-being of animals, adolescent intervention programs helping youth acquire skills to meet life's challenges, education and research in connection with epilepsy, and  programs for home care of the terminally ill. The Craddocks  were residents of Salt Lake City, Utah."
,,,,,"MissionTo support the City of Eugene Public Library and non-profit organizations in the Eugene/Springfield area of Oregon, that emphasize education generally, and literacy and reading programs specifically.Annual application deadlinesJuly 31Program areasEducationStates servedOregonGeographic limitationsEugene/Springfield, OregonTrusteesWells Fargo Bank, N.A.Committee membersA four member committee reviews grant applications and makes recommendations to the Trustee.","The Cressey Family Charitable Trust awards grants to the City of Eugene Public Library and Eugene/Springfield area non-profit organizations that emphasize education generally, and literacy and reading programs specifically.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Average givingAverage grant size: $2,500 to $10,000Average number of grants per year: 10Average total giving per year: $50,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by July 31 to be reviewed at the grant meeting.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by November for applications received by the deadline.Required reportsPeriodic progress reports and final reports may be required.","About the Foundation            The Cressey Family Charitable Trust was established in 2006 by John P. Cressey. Mr. Cressey was a resident of Eugene, Oregon until his death in 2006. He did not have a wife or children, but wanted to honor his parents, who owned a book store, and leave something behind that would benefit the community.  His love of  reading, which began at an early age, moved him to create a trust that supports education and literacy programs that impact the residents of the Eugene/Springfield area."
,,,,,"MissionTo perpetuate the generosity of the Croll family by supporting various charitable causes in the New York City area.Annual application deadlinesJune 1Program areasArts, culture, and humanitiesEducationHealthStates servedNew YorkGeographic limitationsThere are no geographic limitations; however, the foundation has a practice of primarily supporting charitable organizations located in the New York City area.TrusteesWells Fargo Bank, N.A.","RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Average givingAverage grant size: $25,000 to $200,000Average number of grants per year: 3 to 5Average total giving per year: $400,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by June 1 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by September for applications received by the deadline.Required reportsPeriodic progress reports and final reports may be required for funded projects.",About the Foundation            Irma L. and Abram S. Croll created this Trust to fulfill their philanthropic legacy.  The couple was committed to supporting several organizations in the New York area during their lifetimes and wished to see this support continue after their deaths.
,,,,,"MissionTo help alleviate suffering or want and support programs or services assisting the education of young people, the support and maintenance of churches, and the improvement or relief from disease of needy persons.Annual application deadlinesApril 1Program areasEducationHealthHuman servicesPublic/society benefitReligionStates servedGeorgiaGeographic limitationsThere are no geographic limitations; however, the foundation has a practice of primarily supporting organizations in the city of Augusta, Georgia and in Richmond County, Georgia.TrusteesWells Fargo Bank, N.A.","The Cullum Foundation makes grants to qualified 501(c)(3) organizations primarily in Augusta, Georgia and other cities in Richmond County, Georgia.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Grantmaking prioritiesPreference will be given to grant requests for programs or services that:Help alleviate suffering or want,Assist young people in securing an education (either primary or advanced courses),Support and maintain churches, orSupport the improvement or relief from disease of needy persons.Annual application period and deadlinesApplications are accepted year-round, but must be submitted by April 1 to be reviewed for a grant during the current year.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by June 30 for applications received by the deadline.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.","About the Foundation            The Cullum Foundation was established under the Last Will and Testament of Henry C. Cullum, a resident of Richmond County, Georgia, who died in 1962. Additional funds were added in 1975 upon the death of his wife, Natalie M. Cullum, pursuant to her Last Will and Testament. The Cullums had a retail store with locations in Georgia and South Carolina."
,,,,,"MissionTo provide grants to charitable organizations in support of various causes including religious, scientific, literary, and education.Annual application deadlinesApril 30Program areasHealthHuman servicesPublic/society benefitStates servedPennsylvaniaGeographic limitationsDelaware County and Chester County, PennsylvaniaTrusteesWells Fargo Bank, N.A.","The Irene D. Cunningham Trust is dedicated to supporting organizations that help the needy poor in Delaware County and Chester County Pennsylvania. Preference is given to charitable organizations that distribute the necessities of life to the poor.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.Organizations must be located in Delaware County or Chester County Pennsylvania.Grant PrioritiesPreference is given to organizations committed to helping the poor and whose activities most closely benefit them.Average givingAverage grant size: $2,000 to $5,000Average number of grants per year: 5Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by April 30 to be reviewed at the annual grant meeting that occurs in June.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.","About the Foundation            The Irene Cunningham Trust was established under the Last Will and Testament of Ms. Cunningham.  Her desire was to support the needy poor in Delaware County and  Chester County, Pennsylvania. Because the Trust is perpetual, Ms. Cunningham’s generosity will be appreciated in this Pennsylvania community for many years to come."
,,,,,"MissionTo support charitable causes in the areas of animal welfare, human services, and programs for veterans.Annual application deadlinesAugust 31Program areasEnvironment, animalsHuman servicesStates servedSouth CarolinaGeographic limitationsGreenville County, South CarolinaTypes of supportCapital NeedsOperating SupportProgramming SupportPopulation servedChildrenDisabledIndigentVeteransProgram limitationsThere are no program limitations; however, the foundation has a practice of primarily supporting charitable causes in the areas of animal welfare, human services, and programs for veterans.TrusteesWells Fargo Bank, N.A.","RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.Applications must be submitted through the online grant application form or alternative accessible application designed for assistive technology users.LimitationsThe foundation does not fund requests for:Multi-year grantsChallenge grantsAnnual application period and deadlinesApplications are accepted year-round.  Applications must be submitted by August 31 to be reviewed at the annual grant meeting that occurs in September.CommunicationsApplicants will receive an automated email confirming their submission.  Grant decisions are generally communicated by October for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.",
,,,,,"MissionTo support organizations that assist with paying all or part of the medical, surgical and hospital expenses of children who are residents of Larimer County, Colorado, under the age of eighteen years and who are sick or crippled and who are orphans or whose immediate family is without any or adequate funds with which to pay all or part of such expenses.Annual application deadlinesJuly 1Program areasHealthStates servedColoradoGeographic LimitationsGrants are restricted to benefiting residents of Larimer County, Colorado.Population servedChildren under the age of 18 years old.TrusteesWells Fargo Bank, N.A.","Average givingAverage grant size: $5,000 to $28,000Average number of grants per year: 2 to 3Average total giving per year: $42,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by July 1 to be reviewed at the annual grant meeting.CommunicationsApplicants will receive an email confirming their submission. Grant decisions are generally communicated within 3 months of the application deadline for applications received by the deadline.",About the Foundation            The Effie H. Curtis and Edward H. Curtis Trust Fund was established under the Last Will and Testament of Effie H. Curtis.
